fid,id_class,id_name,area,perimeter
125,"2",Broadleaf Trees,125.642089843750000,50.456404190945747
126,"2",Broadleaf Trees,1.097656250000000,4.684680261611861
127,"2",Broadleaf Trees,0.548583984375000,2.962851921845572
130,"2",Broadleaf Trees,930.795166015625000,175.521821910436785
132,"3",Coniferous Trees,129.072021484375000,45.115000819658455
134,"3",Coniferous Trees,24.141113281250000,20.240489990748276
135,"2",Broadleaf Trees,1.645996093750000,6.625138229118018
136,"3",Coniferous Trees,410.119384765625000,85.144578891770820
137,"1",Grass,1478.764892578125000,165.258779498793956
138,"2",Broadleaf Trees,113.022705078125000,51.727775519028910
139,"2",Broadleaf Trees,112.062988281250000,39.775362319346158
142,"2",Broadleaf Trees,746.994628906250000,188.586032660734787
143,"1",Grass,8446.416015625000000,372.352642765410224
146,"2",Broadleaf Trees,478.016113281250000,95.567686081229269
147,"1",Grass,6.172363281250000,11.474526690880200
148,"3",Coniferous Trees,2.194335937500000,8.638123622337611
149,"2",Broadleaf Trees,1782.996582031250000,282.470939854997482
150,"3",Coniferous Trees,133.460205078125000,44.377700237246138
151,"2",Broadleaf Trees,74.891113281250000,36.602216294245501
152,"1",Grass,335.914306640625000,75.732362461097978
153,"2",Broadleaf Trees,34.839843750000000,24.521176042840807
154,"1",Grass,28.256103515625000,21.716063741343824
155,"3",Coniferous Trees,69.953613281250000,36.848138902447040
157,"2",Broadleaf Trees,1.097167968750000,4.684680261611861
158,"2",Broadleaf Trees,18.518066406250000,23.856338281319413
159,"3",Coniferous Trees,440.433349609375000,116.074476831554435
164,"3",Coniferous Trees,363.621093750000000,109.406673364796916
165,"2",Broadleaf Trees,3.428955078125000,7.678761563356600
166,"1",Grass,4.389648437500000,12.705436820672118
168,"2",Broadleaf Trees,12.344726562500000,20.703553551815858
170,"2",Broadleaf Trees,597.211425781250000,97.834502285381888
173,"2",Broadleaf Trees,11.658935546875000,13.148460067173319
174,"2",Broadleaf Trees,8.229492187500000,12.936822869853316
175,"3",Coniferous Trees,138.398681640625000,50.735948792728912
176,"2",Broadleaf Trees,6.172119140625000,10.902893111840209
177,"1",Grass,0.548828125000000,2.962851922010208
178,"2",Broadleaf Trees,4712.949462890625000,558.163755810258181
180,"3",Coniferous Trees,6056.885498046875000,687.817344033658628
181,"2",Broadleaf Trees,297.918212890625000,81.085244763573797
182,"2",Broadleaf Trees,672.375976562500000,112.593733271262238
184,"1",Grass,33.879394531250000,27.297156883838049
185,"2",Broadleaf Trees,87.510009765625000,34.219369520780255
186,"3",Coniferous Trees,31.410400390625000,23.292392782474987
187,"2",Broadleaf Trees,29.902587890625000,20.384986445512411
188,"1",Grass,1.097167968750000,4.684680181435589
190,"2",Broadleaf Trees,232.904052734375000,59.917121312883438
191,"2",Broadleaf Trees,80.927001953125000,39.979860689401406
193,"2",Broadleaf Trees,130.306640625000000,55.604218644293439
194,"1",Grass,79.554687500000000,34.463799319677697
195,"3",Coniferous Trees,48.419189453125000,28.067207029610557
196,"3",Coniferous Trees,311.362304687500000,80.642275468372077
197,"3",Coniferous Trees,169.534423828125000,49.823656830730833
198,"3",Coniferous Trees,168.711914062500000,52.822097829353403
199,"3",Coniferous Trees,1.097412109375000,4.684680261403611
200,"1",Grass,776.759765625000000,124.497286213036290
201,"2",Broadleaf Trees,255.535644531250000,66.319315759288656
202,"2",Broadleaf Trees,270.212158203125000,59.827169397767406
203,"3",Coniferous Trees,421.367187500000000,80.258465778001423
205,"3",Coniferous Trees,149.097900390625000,51.418619176097316
207,"1",Grass,0.548583984375000,2.962851921845572
208,"3",Coniferous Trees,10.013183593750000,14.443273880350121
210,"3",Coniferous Trees,276.797607421875000,91.271682578650669
211,"2",Broadleaf Trees,1027.768066406250000,185.150579632089091
213,"3",Coniferous Trees,134.009033203125000,47.770677935093595
216,"2",Broadleaf Trees,26.747314453125000,20.081640182424234
217,"3",Coniferous Trees,63.232421875000000,46.695862524045225
218,"1",Grass,15884.130126953125000,796.196531399932951
220,"1",Grass,187.092285156250000,51.213109217311924
221,"1",Grass,195.870849609375000,54.673664886037884
222,"3",Coniferous Trees,350.867675781250000,88.871129493947535
223,"2",Broadleaf Trees,111.926269531250000,39.779873684062444
224,"3",Coniferous Trees,61.038085937500000,34.844562903917165
228,"3",Coniferous Trees,3.292236328125000,9.587990301973619
231,"2",Broadleaf Trees,0.548828125000000,2.962851921845572
232,"2",Broadleaf Trees,18.105468750000000,22.495259894795403
237,"1",Grass,175.980957031250000,54.448737074038476
238,"2",Broadleaf Trees,186.544189453125000,49.607545352431615
239,"1",Grass,75.714355468750000,32.263532173111209
241,"2",Broadleaf Trees,44.989746093750000,24.735067915525576
